Year,Cpv,CountryFrom,CountryTo,EuroTotal
2009,71000000,BE,FR,887630.99
2009,71240000,BE,FR,-225000
2009,71300000,BE,FR,-106198.35
2009,71310000,BE,FR,-1258229
2009,71313000,BE,FR,-60000
2009,71335000,BE,FR,-1235026
2009,71600000,BE,FR,198347.11
2009,71631000,BE,FR,2659239.01
2009,72000000,BE,FR,1740
2009,72310000,BE,FR,307785
2009,72330000,BE,FR,-317725
2009,73000000,BE,FR,2076250
2009,79212000,BE,FR,-493859.9
2009,79341000,BE,FR,-3085000
2009,79600000,BE,FR,-1280000000
2009,80522000,BE,FR,-231630
2009,90500000,BE,FR,-196106
2009,92320000,BE,FR,-231244.55
2009,98310000,BE,FR,-1081167.8
2009,14622000,BE,GR,-329554.8
2009,34630000,BE,GR,-515542.97
2009,18933000,BE,HK,1900000
2009,34121200,BE,HU,-2128616.31
2009,38000000,BE,IE,-194089
2009,15242000,BE,IT,619998.5
2009,15332140,BE,IT,591438
2009,15612120,BE,IT,979031
2009,15614100,BE,IT,796612
2009,15831200,BE,IT,916153
2009,18000000,BE,IT,1723434.05
2009,33151000,BE,IT,-207267008
2009,33151400,BE,IT,-929805.12
2009,33696000,BE,IT,-14064225
2009,34121400,BE,IT,-1884000
2009,24300000,BE,LT,-1002280.03
2009,72318000,BE,LT,-36344.27
2009,14450000,BE,LU,-115150.43
2009,22500000,BE,LU,-330000
2009,30000000,BE,LU,-2152617
2009,30237300,BE,LU,529573
2009,32510000,BE,LU,262179.34
2009,34741400,BE,LU,21221
2009,34927100,BE,LU,-868887
2009,45262610,BE,LU,-589581
2009,45421151,BE,LU,-1024511.3
2009,66113000,BE,LU,12388497.24
2009,72000000,BE,LU,123750
2009,72500000,BE,LU,5801
2009,73210000,BE,LU,397750
2009,79313000,BE,LU,127730
2009,79419000,BE,LU,303100
2009,90513600,BE,LU,-1433749.51
2009,35300000,BE,LV,-210721.23
2009,39340000,BE,LV,-2893001.98
2009,45240000,BE,LV,-31691892.58
2009,18100000,BE,NL,-378151.25
2009,18113000,BE,NL,-95705
2009,18930000,BE,NL,-686946
2009,19520000,BE,NL,10775350
2009,22140000,BE,NL,282535.5
2009,24960000,BE,NL,638259.44
2009,30000000,BE,NL,4115192
2009,31213000,BE,NL,1363024
2009,33000000,BE,NL,180664.03
2009,33735100,BE,NL,-503394
2009,34000000,BE,NL,148750
2009,34513200,BE,NL,6995000
2009,34741400,BE,NL,21221
2009,35815000,BE,NL,-883000
2009,37400000,BE,NL,67579.83
2009,38000000,BE,NL,239200
2009,38430000,BE,NL,-415552
2009,38432000,BE,NL,742430.75
2009,38630000,BE,NL,-380000
2009,38652100,BE,NL,-579831.93
2009,39111200,BE,NL,-463821.72
2009,39300000,BE,NL,109193
2009,39360000,BE,NL,3486450
2009,39522530,BE,NL,-381135
2009,42500000,BE,NL,-1534756.64
2009,42992200,BE,NL,413185.1
2009,44912400,BE,NL,-699113
2009,45000000,BE,NL,-3219070.2
2009,45212322,BE,NL,1876038
2009,45223310,BE,NL,-60623000
2009,45350000,BE,NL,-2529200
2009,48000000,BE,NL,2651960
2009,48810000,BE,NL,-5000000
2009,60610000,BE,NL,144000
2009,66515100,BE,NL,167104.66
2009,71000000,BE,NL,338202.75
2009,71300000,BE,NL,408000
2009,71354100,BE,NL,3747478.50
2009,71354200,BE,NL,-157450
2009,71620000,BE,NL,2106878.58
2009,72000000,BE,NL,5531347
2009,72200000,BE,NL,3099172
2009,72317000,BE,NL,148000
2009,72500000,BE,NL,1359580
2009,73300000,BE,NL,23573000
2009,77300000,BE,NL,359461.84
2009,79410000,BE,NL,-567573
2009,35333000,BE,NO,845040
2009,48931000,BE,NO,289232.23
2009,09211200,BE,PL,-540624.11
2009,18930000,BE,PL,-1556181.39
2009,33141614,BE,PL,-1200745.90
2009,33141620,BE,PL,-1385617.88
2009,34731700,BE,PL,-112785.23
2009,44421722,BE,PL,-3649872.22
2009,71354000,BE,PR,390556
2009,22510000,BE,RO,-219465.95
2009,37823500,BE,RO,-366817.59
2009,38418000,BE,RO,-117614.38
2009,50531300,BE,RO,-454886.72
2009,71300000,BE,RO,-8033829.1
2009,71322000,BE,RO,-56905.82
2009,71325000,BE,RO,-112079.06
2009,71355100,BE,RO,-1610769.12
2009,71520000,BE,RO,-2759093
2009,73220000,BE,RO,-2121562.5
2009,79311200,BE,RO,-163147.14
2009,79342200,BE,RO,-892800
2009,18100000,BE,SI,-5313722.44
2009,72267100,BE,SI,-150000
2009,76200000,BE,SI,-155430
