YEAR,CPV,ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,VALUE_EURO_FIN_2
2009,79340000,20096696,FR,CA,270000
2009,92312100,20096746,PL,FR,12360
2009,50532300,20096840,RO,US,4113372.01
2009,72260000,20097761,DE,NO,273000
2009,44618400,20097777,UK,LV,4628257.8
2009,39298800,20097781,SI,IT,337400
2009,33141000,20097812,PL,CH,136676.03
2009,32211000,20097858,RO,DE,744901
2009,39350000,20097861,RO,HU,246171.61
2009,30125100,20097863,RO,DE,203852.36
2009,30125100,20097863,RO,DE,203852.36
2009,35332100,20097916,IT,FR,514183
2009,31110000,20097923,DK,SE,2900000
2009,48611000,20097937,EE,FI,237686.85
2009,22315000,20097942,HU,US,598652.14
2009,03340000,20097949,EE,FR,332340.57
2009,30000000,20097981,BE,NL,4115192
2009,75000000,20098298,AT,DE,488893.4
2009,48000000,20098362,BG,DE,536353.41
2009,34121000,20098363,HU,DE,8623148.08
2009,31000000,20098382,CY,DK,52752800
2009,71200000,20098393,SK,CZ,1161787.16
2009,34600000,20098420,NO,CH,382226907.12
2009,45331000,20099160,BE,DE,937936
2009,45310000,20099163,BE,CZ,655537.44
2009,38433000,20099262,IE,UK,565147.4
2009,33141613,20099304,EE,FI,334513.57
2009,33157200,20099326,IT,FR,570089.17
2009,44212261,20099352,RO,DE,460000
2009,72000000,20099368,DE,AT,258826.92
2009,34150000,20099383,SE,US,296635.31
2009,38540000,20099394,PL,US,347857.04
2009,35000000,20099443,AT,IT,249650
2009,33124130,20099444,PL,DE,696000
2009,73111000,20099529,CY,HU,189542
2009,92312210,20099791,PL,UK,308731.86
2009,34621200,20099867,IE,AT,6000000
2009,44615100,20099873,SK,DE,7727462
2009,22412000,20099882,PL,FR,202829.51
2009,72224000,20099893,CY,UK,1342482.1
2010,34731700,20101022,LV,LT,138600
2010,22211000,20101060,HU,DE,466820.1
2010,75130000,20101271,DK,SE,168954.76
2010,33100000,20101321,NO,SE,469747.51
2010,22114300,20101326,NO,IN,549966.77
2010,45230000,20101913,PL,ES,111377253.14
2010,35332100,20101993,IT,FR,514374
2010,37311300,20102160,PL,DE,419119.27
2010,38000000,20102162,FR,DE,51459
2010,79800000,20102242,NL,BE,13409874
2010,72321000,20102353,FR,UK,53623.05
